This data is downloaded from the A.P.E.S. Dashboard. Please see http://apesportal.eva.mpg.de/status/tools/dashboard/APES_Dashboard_Methodology.pdf for full terms and conditions of use.
IAS ID, Name, Category, Area (km2) , Taxon, Taxon-Site Overlap (%), Pressure score , Main Pressure, Habitat score, Response score , Biodiversity score , Uncertainity  score, Habitat Suitability (2000) Score, Mean Forest Cover (2005) (%), Mean Deforestation (2000 - 2005) (%), Mean Human Influence Index, Mean Population Count (2000), Mean Population Change (1990 - 2000) (%), Protection Extent (%), Maximum Species Richness (MSR), Proportion MSR Threatened (%), Mean Carbon Stock (tonnes/ha), Site Additional Information
704, Tanjung Penghujan NR/RP, Protected Areas, 278.465, hal, 98.46153846, 0.853968304, HII, 0.488565182, 0.75, 0.641855863, 0.599177697, , 43.3214, 1.72393, 16.76805951, 7.789597743, 33.2188, 100, 429, 47.08624709, 35478.8, Other Area (WDPA ID: 342562)
873, Gunung Gede Pangrango NP, Protected Areas, 176.836, hm, 100, 0.578987874, Population, 0.95742, 1, 0.358523281, 0.631784458, , 76.5936, 1.2406, 14.17434661, 309.5775073, 20.5853, 100, 55, 45.45454545, 35310.4, National Park (WDPA ID: 2350)
929, Siranggas, Protected Areas, 100.918, ss, 100, 0.711347001, HII, 0.96019875, 0.75, 0.32956784, 0.685272504, , 76.8159, 1.2406, 13.89806964, 17.8308533, 13.4865, 100, 133, 33.08270677, 26366.1, Wildlife Reserve (WDPA ID: 34130)
655, Dolok Sibual-bual, Protected Areas, 403.411, ss, 100, 0.671357115, HII, 0.93048375, 0.75, 0.331312133, 0.574889461, , 74.4387, 1.2406, 11.79911673, 38.91719357, 12.383, 100, 134, 32.8358209, 26725.2, Protection Forest (WDPA ID: 8920)
393, Kutai NP, Protected Areas, 2266.54, ppy, 17.59118541, 0.758525054, HII, 0.791353738, 1, 0.506572184, 0.575152735, , 64.954, 0.886908, 11.62118115, 25.15411325, 31.6219, 100, 372, 52.41935484, 13687.4, National Park (WDPA ID: 1256)
870, Pararawen I / II, Protected Areas, 39.5611, ppy, 56.25, 0.703931366, HII, 0.992011092, 1, 0.330049519, 0.898634425, , 79.4239, 1.2406, 9.515986018, 29.90295433, 34.0074, 100, 116, 33.62068966, 28584, Nature Reserve (WDPA ID: 1914)
424, Apar Besar, Protected Areas, 2388.01, hmm, 96.88631427, 0.713529078, HII, 0.755136874, 0.75, 0.580153529, 0.491759023, , 62.5117, 1.19237, 15.28508389, 12.25592383, 31.6425, 100, 379, 51.71503958, 27596, Nature Reserve (WDPA ID: 8657)
5, West Kalimantan, Landscapes, 4125.37, hal, 99.81183358, 0.531296021, HII, 0.963432688, 0.601453, 0.618857129, 0.47182168, , 77.3775, 1.19076, 4.990499, 3.571787122, 25.0562, 71.3569, 427, 46.60421546, 31564.3,  Important Ape Landscape (Arcus)
871, Dolok Surungan, Protected Areas, 330.361, ha, 100, 0.745094308, HII, 0.9475125, 0.75, 0.340725011, 0.5866098, , 75.801, 1.99885, 16.89987507, 23.23706346, 13.386, 100, 133, 32.33082707, 29052.4, Wildlife Reserve (WDPA ID: 1923)
709, Bukit Tigapuluh NP, Protected Areas, 1459.22, ha, 100, 0.47081206, HII, 0.96576125, 0.75, 0.353723044, 0.509726308, , 77.2609, 4.33057, 5.189477663, 4.003904355, 41.7108, 100, 126, 34.12698413, 31450.2, National Park (WDPA ID: 124434)
908, Bukit Hitam (Sebag), Protected Areas, 792.199, ss, 100, 0.624557731, HII, 0.96141125, 0.75, 0.635235012, 0.537245186, , 76.9129, 0.886989, 9.715193052, 8.188169536, 30.59, 100, 442, 48.19004525, 31560.5, Protection Forest (WDPA ID: 8994)
441, Bukit Besar, Protected Areas, 1338.49, ss, 100, 0.582905188, HII, 0.943015, 0.75, 0.350428621, 0.513172872, , 75.4412, 3.01517, 8.147617571, 5.645857118, 21.0632, 100, 126, 34.12698413, 30802.5, Game Reserve (WDPA ID: 8971)
426, Hutan Sambas, Protected Areas, 398.897, hma, 100, 0.656305465, HII, 0.988709049, 0.75, 0.633808472, 0.575417522, , 79.1195, 1.25444, 12.30822087, 7.734458787, 24.8813, 100, 377, 51.19363395, 38777.8, Nature Reserve (WDPA ID: 8674)
685, Istana Sultan Siak, Protected Areas, 241.307, ha, 100, 0.591556173, HII, 0.92729125, 0.75, 0.770201225, 0.608121769, , 74.1833, 4.60751, 8.878272447, 3.258836819, 51.3338, 100, 381, 50.39370079, 65535, Recreation Park (WDPA ID: 17977)
898, Kuala Langsa, Protected Areas, 142.544, hlv, 92.72727273, 0.843535398, HII, 0.09985475, 0.75, 0.580130932, 0.657730545, , 7.98838, 0.130784, 23.78392008, 34.65250094, 14.221, 100, 424, 46.69811321, 24325.9, Nature Reserve (WDPA ID: 8898)
924, Rawa Singkil, Protected Areas, 959.737, pa, 66.96669667, 0.655849451, HII, 0.982937542, 0.75, 0.747575277, 0.548241198, , 79.3343, 3.38931, 7.092412272, 8.7057701, 12.7099, 100, 441, 47.39229025, 54315.6, Wildlife Reserve (WDPA ID: 17962)
442, Gn. Tangkuban Perahu (Badung), Protected Areas, 161.195, ss, 100, 0.659472328, HII, 0.58377625, 0.7421055, 0.335062011, 0.638836388, , 46.7021, 14.5072, 11.23432463, 11.85612244, 19.4255, 98.9474, 119, 35.29411765, 28035.9, Nature Reserve (WDPA ID: 8975)
646, Bukit Perai, Protected Areas, 1840.67, hal, 100, 0.396967061, HII, 0.959382048, 0.75, 0.356084771, 0.500171641, , 77.087, 1.13925, 2.809737037, 1.7331093, 25.169, 100, 115, 33.91304348, 33656.7, Protection Forest (WDPA ID: 8675)
615, Bukit Barisan Selatan, Protected Areas, 565.203, pa, 7.446808511, 0.827772694, HII, 0.998838922, 1, 0.363675854, 0.791647331, , 79.9547, 1.2406, 12.99974096, 17.55111425, 13.4431, 100, 138, 34.05797101, 31704.6, Grand Forest Park (WDPA ID: 317208)
691, Gunung Palung NP, Protected Areas, 1097.52, hal, 99.29022082, 0.695685808, HII, 0.979873686, 1, 0.633664993, 0.522577968, , 78.5566, 1.2406, 9.42365431, 7.477972431, 24.9543, 100, 427, 46.60421546, 34475.6, National Park (WDPA ID: 20378)
901, Maninjau (North and South), Protected Areas, 227.989, ha, 100, 0.741210789, HII, 0.6043575, 0.75, 0.592216337, 0.612391263, , 48.3486, 1.2406, 16.63274797, 17.17816328, 3.59895, 100, 445, 46.96629213, 23467.9, Protection Forest (WDPA ID: 8934)
422, Sungai Berambai, Protected Areas, 786.889, hmf, 73.22404372, 0.559017064, HII, 0.951271806, 0.75, 0.327355104, 0.553847676, , 76.1954, 1.25701, 8.029360652, 3.281214622, 31.5917, 100, 118, 35.59322034, 26470.3, Nature Reserve (WDPA ID: 8652)
4, Central Kalimantan, Landscapes, 32837.4, ppy, 56.5809459, 0.505254427, HII, 0.891280959, 0.313924, 0.658733868, 0.430703159, , 72.16, 2.83411, 4.413074446, 3.239444948, 34.0048, 37.7049, 429, 47.08624709, 38797.1,  Important Ape Landscape (Arcus)
653, Singkil Barat, Protected Areas, 1497.77, hlv, 77.39529547, 0.519664563, HII, 0.89403375, 0.75, 0.70950707, 0.519487598, , 71.5227, 2.49162, 6.225801053, 7.286039514, 10.8898, 100, 441, 47.39229025, 46831.2, Nature Reserve (WDPA ID: 8905)
7, Westen Java, Landscapes, 1514.98, hm, 95.49295775, 0.65989359, Population, 0.87563875, 0.5192955, 0.557554774, 0.509677128, , 70.0511, 1.21737, 15.67323994, 144.3583552, 29.5347, 65.3521, 368, 51.90217391, 24632.3,  Important Ape Landscape (Arcus)
3, North-west Kalimantan/ Malaysia border, Landscapes, 12254.6, hal, 1.748349951, 0.296847368, Population, 0.920098506, 0.846949, 0.378661074, 0.617327549, , 74.2697, 0.67, 0, 0.162146825, 26.6294, 90.8299, 159, 32.0754717, 32891.7,  Important Ape Landscape (Arcus)
933, Danau Semayang Sungay Mahakam, Protected Areas, 1236.9, hmf, 31.70731707, 0.623475093, HII, 0.438765095, 0.75, 0.354729459, 0.576221111, , 36.1799, 1.25052, 10.63724024, 4.30440896, 22.8074, 100, 113, 33.62831858, 33868.1, Other Area (WDPA ID: 98111)
435, Gunung Singgalang, Protected Areas, 245.481, ss, 100, 0.747213593, HII, 0.9327375, 0.75, 0.656736568, 0.607357718, , 74.619, 1.2406, 16.07182696, 109.6623784, 5.82165, 100, 445, 46.96629213, 36152.9, Protection Forest (WDPA ID: 8935)
905, Kelompok Hutan Bakau Pantai Timur, Protected Areas, 425.777, ha, 100, 0.759195107, HII, 0.39205, 1, 0.607343181, 0.570155408, , 31.364, 0.191809, 17.90427385, 61.87384209, 19.2475, 100, 386, 50.77720207, 32536.8, Nature Reserve (WDPA ID: 8970)
434, Malampah Alahan Panjang, Protected Areas, 433.265, ha, 100, 0.697350227, HII, 0.9812325, 0.75, 0.639514073, 0.570750824, , 78.4986, 0.822714, 13.87887174, 32.9883436, 5.82452, 100, 437, 46.6819222, 34118.3, Nature Reserve (WDPA ID: 8932)
400, Padang Luwai, Protected Areas, 90.5711, hmm, 100, 0.560181475, HII, 0.507336226, 0.75, 0.279602436, 0.696811162, , 44.8136, 1.2406, 7.940442204, 2.508698086, 32.1944, 100, 114, 35.0877193, 17995.7, Nature Reserve (WDPA ID: 1916)
646, Bukit Perai, Protected Areas, 1840.67, ppy, 86.15384615, 0.368662052, HII, 0.993668225, 0.75, 0.356084771, 0.506119141, , 79.5434, 1.13593, 2.428956692, 1.55507116, 25.1341, 100, 115, 33.91304348, 33656.7, Protection Forest (WDPA ID: 8675)
403, Pleihari Tanah Laut, Protected Areas, 407.926, hmm, 98.72068229999999, 0.734673689, HII, 0.591202648, 0.75, 0.728238181, 0.575152735, , 50.8034, 1.75244, 16.68886633, 11.03871131, 14.0429, 100, 351, 53.56125356, 59578, Wildlife Reserve (WDPA ID: 1934)
428, Pamukan, Protected Areas, 319.158, hmm, 96.71232877, 0.693285364, HII, 0.743148756, 0.75, 0.560272269, 0.592499383, , 61.6555, 1.01271, 14.04561692, 17.40093961, 14.844, 100, 366, 51.09289617, 25988.2, Nature Reserve (WDPA ID: 8684)
651, Lingga Isaq, Protected Areas, 1813.58, pa, 7.484604453, 0.628530756, HII, 0.982706864, 0.75, 0.30481413, 0.654823085, , 79.3253, 0.735005, 6.417422204, 1.903427594, 14.9494, 100, 143, 30.76923077, 21559.2, Game Reserve (WDPA ID: 8897)
620, Tanjung Puting NP, Protected Areas, 3994.9, ppy, 84.1222031, 0.420657287, HII, 0.842613934, 1, 0.670458391, 0.478382738, , 68.6505, 1.68424, 3.079810581, 0.907326312, 33.9322, 100, 429, 47.08624709, 41102.2, National Park (WDPA ID: 1490)
645, Betung Kerihun NP, Protected Areas, 7871.49, hal, 2.72250164, 0.296847368, Population, 0.920098506, 1, 0.369120116, 0.617327549, , 74.2697, 0.67, 0, 0.162146825, 26.6294, 100, 159, 32.0754717, 31015.9, National Park (WDPA ID: 8673)
653, Singkil Barat, Protected Areas, 1497.77, pa, 46.93057946, 0.665289838, HII, 0.986413085, 0.75, 0.70950707, 0.543317781, , 79.4699, 3.39852, 7.339672573, 10.02452788, 12.9578, 100, 441, 47.39229025, 46831.2, Nature Reserve (WDPA ID: 8905)
651, Lingga Isaq, Protected Areas, 1813.58, hlv, 100, 0.609195472, HII, 0.90106625, 0.75, 0.30481413, 0.500798177, , 72.0853, 0.810438, 9.159211458, 3.319455459, 14.8238, 100, 143, 30.76923077, 21559.2, Game Reserve (WDPA ID: 8897)
681, Way Kambas NP, Protected Areas, 1242.08, ha, 98.96551724, 0.524044806, HII, 0.57767875, 1, 0.583093076, 0.516771274, , 46.2143, 0.918604, 6.606116972, 0.577357009, 1.19119, 100, 446, 46.86098655, 21597.6, National Park (WDPA ID: 17923)
923, Tanjung Datuk, Protected Areas, 127.922, ha, 99.32885906, 0.744927786, HII, 0.19175375, 0.75, 0.649103273, 0.660773921, , 15.3403, 0, 16.88833832, 17.75771789, 53.5382, 100, 377, 50.66312997, 42132.5, Nature Reserve (WDPA ID: 17938)
427, Bukit Rongga, Protected Areas, 1388.37, ppy, 72.31149567, 0.565010578, HII, 0.989354132, 0.75, 0.322948987, 0.525925496, , 79.2323, 0.881171, 5.609795149, 4.327371708, 24.9307, 100, 116, 33.62068966, 27188, Protection Forest (WDPA ID: 8677)
903, Siak Kecil, Protected Areas, 945.942, ha, 100, 0.50397501, Population, 0.84224375, 0.75, 0.770201225, 0.528882204, , 67.3795, 7.11353, 3.988385406, 3.155688629, 51.5746, 100, 381, 50.39370079, 65535, Nature Reserve (WDPA ID: 8953)
678, Padang Sugihan, Protected Areas, 838.686, ha, 100, 0.45754922, HII, 0.6742925, 0.75, 0.450504074, 0.534609427, , 53.9434, 1.65233, 4.879670654, 1.274034242, 7.47957, 100, 129, 31.78294574, 51577.1, Wildlife Reserve (WDPA ID: 10320)
401, Gumai Pasemah, Protected Areas, 545.906, ha, 100, 0.721234162, HII, 0.9032325, 0.75, 0.339736653, 0.556529031, , 72.2586, 1.2406, 15.32036998, 49.77033161, 26.2236, 100, 139, 34.5323741, 26541.5, Wildlife Reserve (WDPA ID: 1924)
443, Bukit Balal, Protected Areas, 252.027, ss, 100, 0.758043303, HII, 0.9556175, 0.75, 0.377712216, 0.604646686, , 76.4494, 1.2406, 16.78852752, 24.29705704, 27.7344, 100, 130, 33.84615385, 35768.1, Protection Forest (WDPA ID: 8981)
446, Bukit Balai Rejang, Protected Areas, 715.111, ha, 100, 0.622052793, HII, 0.99218125, 0.75, 0.355882563, 0.542635366, , 79.3745, 0.81179, 10.11629338, 10.02528945, 32.6317, 100, 138, 34.05797101, 30172.4, Protection Forest (WDPA ID: 8995)
447, Gunung Betung, Protected Areas, 59.3679, ha, 100, 0.762430381, HII, 0.7328925, 0.75, 0.591227769, 0.74197662, , 58.6314, 0.939311, 18.14255925, 4.542605903, 4.68014, 100, 407, 50.85995086, 26255.9, Protection Forest (WDPA ID: 8998)
463, Hutan Lunang, Protected Areas, 294.536, ss, 100, 0.722710314, HII, 0.77966, 0.75, 0.798554444, 0.594827074, , 62.3728, 6.12087, 14.55499945, 11.89110067, 5.59548, 100, 433, 47.34411085, 65535, Nature Reserve (WDPA ID: 17930)
435, Gunung Singgalang, Protected Areas, 245.481, ha, 100, 0.732860928, HII, 0.9327375, 0.75, 0.656736568, 0.607357718, , 74.619, 1.2406, 16.07182696, 109.6623784, 5.82165, 100, 445, 46.96629213, 36152.9, Protection Forest (WDPA ID: 8935)
906, Dangku, Protected Areas, 315.456, ha, 100, 0.780450381, HII, 0.581025, 0.75, 0.270791235, 0.59009455, , 46.482, 1.29942, 19.52579561, 11.93361711, 26.2124, 100, 111, 35.13513514, 16669.2, Wildlife Reserve (WDPA ID: 8980)
692, Hutan Pinus/Janthoi, Protected Areas, 168.221, ss, 100, 0.420701481, HII, 0.930195, 1, 0.571642941, 0.635831214, , 74.4156, 0.855373, 3.940910647, 3.458492085, 14.8366, 100, 401, 45.63591022, 26702.8, Nature Reserve (WDPA ID: 20931)
647, Pararawen Baru, Protected Areas, 820.373, hal, 100, 0.604397612, Population, 0.974883242, 0.75, 0.325638766, 0.535672647, , 78.1987, 2.65529, 4.750227138, 3.518944422, 34.2697, 100, 119, 31.93277311, 28386.1, Nature Reserve (WDPA ID: 8681)
617, Lamandau, Protected Areas, 365.979, ppy, 57.54716981, 0.670866534, HII, 0.930765108, 0.75, 0.676284795, 0.618867497, , 75.0073, 1.19992, 8.415686716, 6.078121284, 34.0625, 100, 429, 47.08624709, 42247.7, Nature Reserve (WDPA ID: 317260)
927, Bukit Soeharto, Protected Areas, 803.847, hmm, 100, 0.730522492, HII, 0.514314593, 0.75, 0.502076049, 0.536713755, , 45.312, 0.675482, 16.40403708, 28.93849743, 31.651, 100, 362, 53.03867403, 13853.9, Nature Recreation Park (WDPA ID: 20416)
893, Bukit Batutenobang, Protected Areas, 4683.11, hal, 100, 0.310325126, Population, 0.978652219, 0.754132, 0.355900603, 0.467666104, , 78.469, 0.67, 1.048561469, 0.903110476, 25.4259, 100, 126, 34.92063492, 31358.2, Protection Forest (WDPA ID: 8678)
6, Northeast Kalimantan, Landscapes, 30126.2, hmf, 99.9942893, 0.363545908, HII, 0.946123109, 0.4438065, 0.592697152, 0.420055113, , 75.7934, 0.948901, 3.183049463, 0.523526456, 29.7793, 59.1742, 393, 52.16284987, 27729.8,  Important Ape Landscape (Arcus)
661, Bakau Selat Dumai, Protected Areas, 518.772, ha, 100, 0.628321137, HII, 0.6041425, 0.75, 0.769606176, 0.559671177, , 48.3314, 6.82667, 10.38937782, 4.412102336, 53.6522, 100, 379, 50.65963061, 65535, Game Reserve (WDPA ID: 8964)
465, Siberut NP, Protected Areas, 1949.72, hk, 99.3383326, 0.852128003, Deforestation, 0.80952941, 1, 0.56971175, 0.498278778, , 74.787, 1.05715, 6.43219336, 2.857020969, 5.68857, 100, 343, 52.47813411, 30285.8, National Park (WDPA ID: 17972)
705, Pulau Samosir, Protected Areas, 543.704, hlv, 100, 0.778868203, HII, 0.47661, 0.75, 0.294510758, 0.557051416, , 38.1288, 1.2406, 18.37715441, 92.22663313, 13.3969, 100, 118, 33.89830508, 21123.7, Other Area (WDPA ID: 98104)
929, Siranggas, Protected Areas, 100.918, hlv, 100, 0.709796281, HII, 0.96019875, 0.75, 0.32956784, 0.685272504, , 76.8159, 1.2406, 13.89806964, 17.8308533, 13.4865, 100, 133, 33.08270677, 26366.1, Wildlife Reserve (WDPA ID: 34130)
657, Lembah Harau, Protected Areas, 217.414, ss, 100, 0.715997834, HII, 0.99269625, 0.75, 0.350751919, 0.61672332, , 79.4157, 0.906424, 14.16351901, 39.66305463, 13.0632, 100, 140, 31.42857143, 30595.6, Protection Forest (WDPA ID: 8933)
623, Muara Kaman Sedulang, Protected Areas, 739.964, hmf, 100, 0.477366599, HII, 0.600736453, 1, 0.372128079, 0.541186418, , 48.8263, 1.49552, 5.547462203, 3.733114383, 31.6059, 100, 113, 34.51327434, 36708.8, Nature Reserve (WDPA ID: 1917)
468, Bukit Raya (Perluasan), Protected Areas, 3318.69, ppy, 33.77431907, 0.413406832, HII, 0.99129277, 0.751297, 0.359937725, 0.521067384, , 79.3721, 1.03857, 2.982126022, 1.758080895, 34.1618, 100, 117, 35.04273504, 33382.6, Nature Reserve (WDPA ID: 20379)
686, Bukit Kaba, Protected Areas, 162.345, ss, 100, 0.795722932, HII, 0.7895475, 0.75, 0.340763512, 0.639278181, , 63.1638, 1.2406, 19.52485038, 76.96505687, 33.4181, 100, 130, 33.84615385, 28503.8, Nature Recreation Park (WDPA ID: 17982)
899, Padang Lawas, Protected Areas, 685.058, ha, 100, 0.657224504, HII, 0.40620125, 0.75, 0.319055674, 0.544589595, , 32.4961, 18.3876, 11.7379635, 21.20087032, 17.7334, 100, 133, 32.33082707, 24792.1, Hunting Park (WDPA ID: 8917)
394, Kerumutan, Protected Areas, 1416.5, ha, 100, 0.596616641, HII, 0.81663625, 0.75, 0.497672178, 0.511005893, , 65.3309, 9.25928, 9.073722889, 4.976033179, 53.2099, 100, 128, 32.8125, 60321.5, Wildlife Reserve (WDPA ID: 1259)
470, Sembilang NP, Protected Areas, 1333.38, ha, 99.15857605, 0.526201259, HII, 0.760435, 0.75, 0.685961668, 0.513946236, , 60.8348, 0.689462, 6.669887608, 1.127320866, 25.7875, 100, 387, 50.90439276, 47764.6, National Park (WDPA ID: 30000)
422, Sungai Berambai, Protected Areas, 786.889, hmm, 25.57377049, 0.68003686, HII, 0.980483254, 0.75, 0.327355104, 0.622080579, , 78.6061, 1.2406, 13.28597876, 12.55345443, 31.6512, 100, 118, 35.59322034, 26470.3, Nature Reserve (WDPA ID: 8652)
919, Bukit Tangkiling, Protected Areas, 50.9624, ppy, 46.66666667, 0.803281546, HII, 0.978600099, 1, 0.358084123, 0.891009536, , 78.4568, 1.993, 13.65784078, 25.6950046, 34.0071, 100, 115, 28.69565217, 37469, Nature Recreation Park (WDPA ID: 10307)
634, Gunung Papandayan, Protected Areas, 46.4439, hm, 100, 0.581493506, HII, 0.79749625, 1, 0.358010619, 0.777235974, , 63.7997, 1.2406, 19.74196991, 10.98671005, 12.8922, 100, 54, 46.2962963, 34803.6, Nature Reserve (WDPA ID: 8532)
655, Dolok Sibual-bual, Protected Areas, 403.411, pa, 27.09677419, 0.693234714, HII, 1, 0.75, 0.331312133, 0.676106467, , 80, 1.2406, 8.116770032, 14.93896071, 10.1978, 100, 134, 32.8358209, 26725.2, Protection Forest (WDPA ID: 8920)
660, Bukit Batu, Protected Areas, 235.322, ha, 100, 0.534166347, Population, 0.997525, 0.75, 0.767268766, 0.610214242, , 79.802, 20.0617, 5.917736253, 4.217734781, 53.595, 100, 374, 51.06951872, 65535, Game Reserve (WDPA ID: 8959)
888, Long Bangun, Protected Areas, 3580.13, hmf, 100, 0.507451459, HII, 0.983033633, 0.75, 0.347644516, 0.476296363, , 78.6753, 0.885243, 6.370619639, 1.428113592, 31.6211, 100, 120, 35, 30556.8, Nature Reserve (WDPA ID: 8651)
415, Gunung Masigit Kareumbi, Protected Areas, 103.257, hm, 100, 0.570426325, Population, 0.91343875, 0.75, 0.315578134, 0.680958551, , 73.0751, 1.2406, 18.92186533, 195.1868978, 21.7378, 100, 47, 40.42553191, 31328, Game Reserve (WDPA ID: 8541)
3, North-west Kalimantan/ Malaysia border, Landscapes, 12254.6, ppy, 69.14759163, 0.32519652, HII, 0.994048187, 0.846949, 0.378661074, 0.45041644, , 79.5708, 0.708944, 1.965281991, 1.423924007, 21.3428, 90.8299, 159, 32.0754717, 32891.7,  Important Ape Landscape (Arcus)
652, Rantau Pala Gajah, Protected Areas, 27.8673, ss, 74.19354839, 0.777465229, HII, 0.51274875, 0.75, 0.708996041, 0.934361136, , 41.0199, 3.04157, 18.15005387, 14.76993851, 15.077, 100, 425, 47.29411765, 49125.2, Nature Reserve (WDPA ID: 8904)
666, Way Waya, Protected Areas, 328.518, ha, 100, 0.642546827, HII, 0.86038375, 0.75, 0.347207553, 0.587974076, , 68.8307, 1.2824, 11.0342769, 4.371628879, 7.47897, 100, 130, 35.38461538, 28762.5, Protection Forest (WDPA ID: 9000)
887, Gunung Perahu, Protected Areas, 333.173, hm, 100, 0.478153989, HII, 0.87444, 0.75, 0.592935807, 0.585776162, , 69.9552, 1.2406, 15.04907476, 112.464499, 9.14419, 100, 366, 51.63934426, 32051.9, Game Reserve (WDPA ID: 8617)
402, Cikepuh, Protected Areas, 140.369, hm, 99.39393939, 0.653311688, HII, 0.6317375, 0.75, 0.478468003, 0.651499098, , 50.539, 1.2406, 23.78962745, 111.2328522, 21.7377, 100, 353, 51.84135977, 11307.8, Wildlife Reserve (WDPA ID: 1927)
624, Isau-isau Pasemah, Protected Areas, 150.417, ha, 100, 0.739593152, HII, 0.8689325, 0.75, 0.347799012, 0.645823913, , 69.5146, 2.55623, 16.52265862, 32.53435828, 26.251, 100, 139, 34.5323741, 28126.6, Wildlife Reserve (WDPA ID: 1925)
615, Bukit Barisan Selatan, Protected Areas, 565.203, hlv, 100, 0.722266256, HII, 0.96869125, 1, 0.363675854, 0.55483316, , 77.4953, 1.25432, 14.6221211, 27.61541179, 13.4656, 100, 138, 34.05797101, 31704.6, Grand Forest Park (WDPA ID: 317208)
